Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Chile,2020-08-21,211,2021-11-13,S.Q677,2021-04-21,449,FALSE,0.02201681472,6820.692521,150.1699235,3612.883998
Switzerland,2020-08-25,1546,2021-11-23,S.Q677,2021-04-25,455,FALSE,0.01186490883,5195.024988,61.63849783,1904.401253
New Zealand,2020-08-30,9,2021-08-31,S.Q677,2021-04-30,366,FALSE,0.007282913165,6.47716964,0.04717266405,7.092546917
Rwanda,2020-09-09,7,2021-01-30,S.Q677,2021-05-10,143,TRUE,0.01276623892,65.0436386,0.8303626306,53.5248935
Philippines,2020-09-18,131,2021-08-30,S.Q677,2021-05-19,346,FALSE,0.01686568478,5649.495068,95.282603,4545.191963
Burkina Faso,2020-09-21,23,2021-04-23,S.Q677,2021-05-22,214,TRUE,0.01179049203,981.6548387,11.57419355,68.26278104
Jordan,2020-10-08,18,2021-11-17,S.Q677,2021-06-08,405,FALSE,0.01255060188,8240.588895,103.4243505,2176.081234
Oman,2020-10-12,8,2021-07-06,S.Q677,2021-06-12,267,FALSE,0.01198664561,1893.35599,22.69498726,534.5345049
Uzbekistan,2020-10-14,3,2020-12-07,S.Q677,2021-06-14,54,TRUE,0.008250847366,1127.71066,9.304568528,223.2634921
Greece,2020-10-19,48,2021-11-02,S.Q677,2021-06-19,379,FALSE,0.0212737474,746.0271105,15.8707923,1840.999092
Argentina,2020-10-19,32,2021-09-18,S.Q677,2021-06-19,334,FALSE,0.02183155455,8042.773113,175.58624,14190.45209
Czech Republic,2020-10-23,101,2021-11-03,S.Q677,2021-06-23,376,FALSE,0.01729448915,3181.577611,55.02375947,3877.063518
Uganda,2020-10-29,43,2021-06-01,S.Q677,2021-06-29,215,TRUE,0.007579405791,1146.050781,8.686383929,132.8795854
Slovenia,2020-10-31,179,2021-10-16,S.Q677,2021-07-01,350,FALSE,0.01507302368,507.6834256,7.652324294,676.577742
Poland,2020-11-09,113,2021-11-17,S.Q677,2021-07-10,373,FALSE,0.02446299781,2859.74882,69.95802913,6386.845099
Luxembourg,2020-11-12,522,2021-11-13,S.Q677,2021-07-13,366,FALSE,0.01014860887,671.7191996,6.817015427,130.2208463
Portugal,2020-11-12,152,2021-11-15,S.Q677,2021-07-13,368,FALSE,0.01647778634,2338.624804,38.53535984,2110.646529
Mozambique,2020-11-25,5,2021-07-02,S.Q677,2021-07-26,219,TRUE,0.01133539975,127.3637847,1.443719413,321.1112446
Iran,2020-11-25,3,2021-02-01,S.Q677,2021-07-26,68,TRUE,0.04073997119,4812.824324,196.0743243,7140.65411
Norway,2020-11-29,666,2021-11-03,S.Q677,2021-07-30,339,FALSE,0.004339921135,1075.201693,4.66629055,485.8025508
Palestine,2020-11-29,6,2021-02-06,S.Q677,2021-07-30,69,TRUE,0.01154114387,9721.74,112.2,1105.200437
Uruguay,2020-12-02,305,2021-04-26,S.Q677,2021-08-02,145,TRUE,0.01276227789,47224.33471,602.6900826,1066.272841
Nigeria,2020-12-03,443,2021-09-17,S.Q677,2021-08-03,288,FALSE,0.01315985573,8903.079273,117.1632388,354.3017803
Lithuania,2020-12-03,165,2021-11-03,S.Q677,2021-08-03,335,FALSE,0.01439429917,745.3912376,10.72938447,725.6993276
Angola,2020-12-07,19,2021-07-18,S.Q677,2021-08-07,223,TRUE,0.02345300821,225.441989,5.287292818,114.600118
Israel,2020-12-07,297,2021-11-21,S.Q677,2021-08-07,349,FALSE,0.006099512472,4362.219026,26.60740936,2462.842335
Bolivia,2020-12-08,2,2021-02-20,S.Q677,2021-08-08,74,TRUE,0.04722237158,2895.461078,136.7305389,1505.81027
Congo (Brazzaville),2020-12-10,32,2021-10-25,S.Q677,2021-08-10,319,FALSE,0.01476167892,604.4524076,8.922732363,28.22307591
Bosnia and Herzegovina,2020-12-17,6,2021-10-12,S.Q677,2021-08-17,299,FALSE,0.04550188885,1045.12311,47.55507559,446.0358446
Bulgaria,2020-12-17,35,2021-09-30,S.Q677,2021-08-17,287,FALSE,0.04158418996,546.8982792,22.74232193,1099.884765
Serbia,2020-12-18,5,2021-10-04,S.Q677,2021-08-18,290,FALSE,0.008717782726,7007.166667,61.08695652,1874.493326
Panama,2020-12-20,2,2021-04-01,S.Q677,2021-08-20,102,TRUE,0.01721242535,1367.303846,23.53461538,1266.74564
Zimbabwe,2020-12-21,1,2020-12-21,S.Q677,2021-08-21,0,TRUE,0.02592175173,5.969245555,0.1547333013,
Timor-Leste,2020-12-23,5,2021-06-15,S.Q677,2021-08-23,174,TRUE,0.002258678079,102.5853659,0.2317073171,41.95917376
Ukraine,2020-12-29,3,2021-10-25,S.Q677,2021-08-29,300,FALSE,0.02346356789,6194.895819,145.3543586,5402.484982
Mauritius,2021-01-04,5,2021-10-01,S.Q677,2021-09-04,270,FALSE,0.005704868154,54.02739726,0.3082191781,42.79952548
Finland,2021-01-06,250,2021-10-21,S.Q677,2021-09-06,288,FALSE,0.007788151859,505.402757,3.936153421,369.5403358
Ghana,2021-01-06,85,2021-08-16,S.Q677,2021-09-06,222,TRUE,0.008360903337,1640.305344,13.71443442,187.45106
Costa Rica,2021-01-10,16,2021-10-25,S.Q677,2021-09-10,288,FALSE,0.01253309163,2192.484014,27.47860305,1430.588025
Guatemala,2021-01-11,6,2021-09-01,S.Q677,2021-09-11,233,TRUE,0.02524876563,1959.675824,49.4793956,1234.37269
Bahamas,2021-01-18,5,2021-07-20,S.Q677,2021-09-18,183,TRUE,0.02014113496,134.9603175,2.718253968,32.15522433
Lebanon,2021-01-20,10,2021-07-09,S.Q677,2021-09-20,170,TRUE,0.01438492607,1153.393761,16.59148398,1702.735337
Turkey,2021-01-20,251,2021-11-17,S.Q677,2021-09-20,301,FALSE,0.008749218546,11934.06823,104.4137711,19864.18892
Afghanistan,2021-01-21,6,2021-01-21,S.Q677,2021-09-21,0,TRUE,0.04343510468,863.5396825,37.50793651,
Ireland,2021-01-22,281,2021-11-08,S.Q677,2021-09-22,290,FALSE,0.01162212436,831.70924,9.666228219,819.3606353
South Sudan,2021-01-23,44,2021-05-26,S.Q677,2021-09-23,123,TRUE,0.01077081577,1189.336709,12.81012658,60.74662156
Togo,2021-01-25,78,2021-07-31,S.Q677,2021-09-25,187,TRUE,0.009621471072,953.0116009,9.16937355,57.53333261
Malawi,2021-01-26,3,2021-09-16,S.Q677,2021-09-26,233,TRUE,0.03675102041,79.27092321,2.913287317,142.9349644
Cameroon,2021-01-27,44,2021-09-25,S.Q677,2021-09-27,241,TRUE,0.01601610977,3331.751773,53.36170213,255.5982474
Gambia,2021-01-27,179,2021-08-23,S.Q677,2021-09-27,208,TRUE,0.03178458289,1009.606909,32.08993448,19.24369183
Benin,2021-01-30,73,2021-07-18,S.Q677,2021-09-30,169,TRUE,0.01297913634,533.0487157,6.918511957,23.44572395
Cabo Verde,2021-01-31,1,2021-01-31,S.Q677,2021-10-01,0,TRUE,0.009523809524,287.1428571,2.734693878,
Thailand,2021-01-31,17,2021-11-08,S.Q677,2021-10-01,281,FALSE,0.009973218141,1376.436352,13.7275,7474.866468
Liechtenstein,2021-02-07,4,2021-11-06,S.Q677,2021-10-08,272,FALSE,0.01636266094,28.24242424,0.4621212121,3.987895692
Côte d'Ivoire,2021-02-08,45,2021-05-11,S.Q677,2021-10-09,92,TRUE,0.006281731348,3178.99696,19.96960486,212.2931426
Tunisia,2021-02-09,3,2021-03-05,S.Q677,2021-10-10,24,TRUE,0.03439726514,3751.68254,129.047619,728.6315385
Central African Republic,2021-02-12,2,2021-03-09,S.Q677,2021-10-13,25,TRUE,0.0125423054,38.49042146,0.4827586207,1.052307692
Honduras,2021-02-17,4,2021-04-22,S.Q677,2021-10-18,64,TRUE,0.02464018591,4137.939394,101.959596,628.4719406
Libya,2021-02-18,11,2021-06-07,S.Q677,2021-10-19,109,TRUE,0.01676212803,28674.09722,480.6388889,574.2457228
Paraguay,2021-02-20,9,2021-08-14,S.Q677,2021-10-21,175,TRUE,0.03377216709,4353.073093,147.0127119,2028.108401
Morocco,2021-03-02,7,2021-08-25,S.Q677,2021-10-31,176,TRUE,0.01456815942,5113.620264,74.49603524,1258.223972
Sri Lanka,2021-03-02,10,2021-09-05,S.Q677,2021-10-31,187,TRUE,0.02191167477,697.2532771,15.27798704,1963.364908
Sudan,2021-03-04,23,2021-03-28,S.Q677,2021-11-02,24,TRUE,0.06457159232,2725.890566,176.0150943,40.79307692
Estonia,2021-03-04,68,2021-11-02,S.Q677,2021-11-02,243,FALSE,0.007869977812,463.5424339,3.64806867,310.1939469
Gabon,2021-03-08,28,2021-09-30,S.Q677,2021-11-06,206,TRUE,0.006168131322,1108.057743,6.834645669,45.36836245
Liberia,2021-03-10,6,2021-05-29,S.Q677,2021-11-08,80,TRUE,0.03946764571,41.76996805,1.6485623,1.661088528
Slovakia,2021-03-13,33,2021-11-07,S.Q677,2021-11-11,239,TRUE,0.01397646114,655.5535501,9.162318719,596.3541884
Mali,2021-03-20,34,2021-08-30,S.Q677,2021-11-18,163,TRUE,0.03624016675,2352.009302,85.2372093,24.46299022
Belarus,2021-03-22,2,2021-03-25,S.Q677,2021-11-20,3,TRUE,0.006962059474,19687.0625,137.0625,1207.3
Papua New Guinea,2021-03-24,4,2021-09-20,S.Q677,2021-11-22,180,TRUE,0.01117671868,30.51971038,0.3411102172,67.12981402
Djibouti,2021-03-26,10,2021-05-20,S.Q677,2021-11-24,55,TRUE,0.0132346539,86.02996255,1.138576779,73.63714969
Niger,2021-04-01,6,2021-04-01,S.Q677,2021-11-30,0,TRUE,0.03724357698,590.7058824,22,
Malta,2021-04-01,13,2021-06-21,S.Q677,2021-11-30,81,TRUE,0.01372997712,368.8961039,5.064935065,15.60899424
Ecuador,2021-04-10,21,2021-09-27,S.Q677,2021-12-09,170,TRUE,0.06437073075,1101.704135,70.91750026,943.9013896
Bahrain,2021-04-10,8,2021-10-27,S.Q677,2021-12-09,200,TRUE,0.005034606141,312.9478298,1.575569065,544.264983
Latvia,2021-04-13,26,2021-07-01,S.Q677,2021-12-12,79,TRUE,0.01832727273,162.1977224,2.972641895,382.3494726
Croatia,2021-04-21,54,2021-11-13,S.Q677,2021-12-20,206,TRUE,0.01840625064,666.8157439,12.27357771,620.9525847
Belize,2021-04-29,1,2021-04-29,S.Q677,2021-12-28,0,TRUE,0.02554167326,18.16954023,0.4640804598,
Georgia,2021-05-01,15,2021-11-02,S.Q677,2021-12-30,185,TRUE,0.01394335992,6849.318467,95.50251256,2298.480506
Moldova,2021-05-04,1,2021-05-04,S.Q677,2022-01-02,0,TRUE,0.02333561295,1197.638095,27.94761905,
