Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Netherlands,2020-08-16,-0.08912188384454556,2021-11-14,S.Q677,2021-04-16,455,False,-0.7734168690729717,-0.09037517545279289,-0.12016457909394221,0.3625386564463978
Denmark,2020-08-17,-0.05777310427880149,2021-11-22,S.Q677,2021-04-17,462,False,-0.9093884780043598,-0.11329044022046614,-0.13272860240580292,-0.2066280245835528
Russia,2020-08-18,-0.10501030143971384,2021-10-31,S.Q677,2021-04-18,439,False,0.592549273287856,-0.09698768043310799,-0.09836166834731784,0.12419065412452876
Peru,2020-08-21,-0.10339879791183623,2021-10-22,S.Q677,2021-04-21,427,False,4.950492384366424,-0.10889054308282925,-0.08818532554379285,-0.16790932850563944
Chile,2020-08-21,-0.10085564390690438,2021-11-13,S.Q677,2021-04-21,449,False,0.18318668894553716,-0.10999276555934362,-0.12456491478146096,-0.18475063892666602
Switzerland,2020-08-25,-0.06724068750508243,2021-11-23,S.Q677,2021-04-25,455,False,-0.516834990672207,-0.11157501733286262,-0.13016825203170332,-0.22643402165469143
New Zealand,2020-08-30,-0.10594195191676807,2021-08-31,S.Q677,2021-04-30,366,False,-0.8327851517719097,-0.11662499761538589,-0.13406649453691924,-0.2727243603662319
Rwanda,2020-09-09,-0.10599231140201425,2021-01-30,S.Q677,2021-05-10,143,True,-0.45468403987258194,-0.11656799524712816,-0.13401692482220634,-0.2715915088468099
Philippines,2020-09-18,-0.1028700233167514,2021-08-30,S.Q677,2021-05-19,346,False,-0.17200795840437522,-0.11113268452157474,-0.12803884694957082,-0.16200428703097766
Burkina Faso,2020-09-21,-0.10558943552004485,2021-04-23,S.Q677,2021-05-22,214,True,-0.5219663791909964,-0.1156758634504691,-0.13333692551636234,-0.271231935413171
Jordan,2020-10-08,-0.10571533423316029,2021-11-17,S.Q677,2021-06-08,405,False,-0.4695532284332532,-0.10861078953388363,-0.12752353889140322,-0.21980560198776308
Oman,2020-10-12,-0.10596713165939116,2021-07-06,S.Q677,2021-06-12,267,False,-0.5084406668742687,-0.11478851057278587,-0.1326330674549348,-0.2598558868239811
Uzbekistan,2020-10-14,-0.1060930303725066,2020-12-07,S.Q677,2021-06-14,54,True,-0.7660415341216599,-0.11553370825723704,-0.13348057478365485,-0.2674502443301685
Greece,2020-10-19,-0.10495994195446766,2021-11-02,S.Q677,2021-06-19,379,False,0.1319487008227518,-0.11590519840565927,-0.13306498488462598,-0.22798090092548376
Argentina,2020-10-19,-0.10536281783643706,2021-09-18,S.Q677,2021-06-19,334,False,0.17041212850586504,-0.10880332236457993,-0.12295626348130848,0.07331975739482903
Czech Republic,2020-10-23,-0.10362541559544401,2021-11-03,S.Q677,2021-06-23,376,False,-0.1424398794084391,-0.11353469273910415,-0.1305869125194645,-0.17830521472013353
Uganda,2020-10-29,-0.1050858406675831,2021-06-01,S.Q677,2021-06-29,215,True,-0.8123405901008603,-0.1155158579352064,-0.1335197009669834,-0.26965542140114346
Slovenia,2020-10-31,-0.10166139567084319,2021-10-16,S.Q677,2021-07-01,350,False,-0.29562037638822564,-0.11613717678406986,-0.13358514874248137,-0.25639033083092544
Poland,2020-11-09,-0.10332325868396697,2021-11-17,S.Q677,2021-07-10,373,False,0.35186252320450945,-0.11384792663532986,-0.12964169166870168,-0.11707182707794708
Luxembourg,2020-11-12,-0.09302474395112413,2021-11-13,S.Q677,2021-07-13,366,False,-0.6351819487454231,-0.11597752181830137,-0.13363801717032492,-0.2697202890387029
Portugal,2020-11-12,-0.10234124872166654,2021-11-15,S.Q677,2021-07-13,368,False,-0.19875538104915924,-0.11435513329462611,-0.13163049747412278,-0.22140207105377668
Mozambique,2020-11-25,-0.10604267088726042,2021-07-02,S.Q677,2021-07-26,219,True,-0.5533471332758502,-0.11650733944900765,-0.13397810420138723,-0.2650629651326051
Iran,2020-11-25,-0.1060930303725066,2021-02-01,S.Q677,2021-07-26,68,True,1.4742364269839612,-0.11194701078550799,-0.12165953020184886,-0.09868047393065653
Norway,2020-11-29,-0.08939886101339951,2021-11-03,S.Q677,2021-07-30,339,False,-1.0357183001151746,-0.11558481489772464,-0.13377414100123708,-0.261044843926287
Palestine,2020-11-29,-0.10601749114463734,2021-02-06,S.Q677,2021-07-30,69,True,-0.5391601080990561,-0.1071691946719803,-0.12696810986305218,-0.24593283929705412
Uruguay,2020-12-02,-0.09848874810033414,2021-04-26,S.Q677,2021-08-02,145,True,-0.45495717152920495,-0.07066815999734512,-0.09592397689097525,-0.24688259069928437
Nigeria,2020-12-03,-0.09501394361834806,2021-09-17,S.Q677,2021-08-03,288,False,-0.42754230870923504,-0.10796599190198693,-0.12665397620215813,-0.26425318592553954
Lithuania,2020-12-03,-0.10201391206756641,2021-11-03,S.Q677,2021-08-03,335,False,-0.34242162500460055,-0.11590581729667072,-0.1333903952323585,-0.2551918675401696
Angola,2020-12-07,-0.1056901544905372,2021-07-18,S.Q677,2021-08-07,223,True,0.2822189879068774,-0.11641188056239826,-0.13373483648180307,-0.27010140192856086
Israel,2020-12-07,-0.09869018604131885,2021-11-21,S.Q677,2021-08-07,349,False,-0.9143861978957388,-0.11238558202928613,-0.13238544215888096,-0.21280923473765492
Bolivia,2020-12-08,-0.10611821011512969,2021-02-20,S.Q677,2021-08-08,74,True,1.9212284359851908,-0.11381316812388158,-0.125415521261359,-0.23615880263064964
Congo (Brazzaville),2020-12-10,-0.10536281783643706,2021-10-25,S.Q677,2021-08-10,319,False,-0.3170890625834031,-0.1160429921551202,-0.13350474198519535,-0.27220881993725266
Bosnia and Herzegovina,2020-12-17,-0.10601749114463734,2021-10-12,S.Q677,2021-08-17,299,False,1.8025930562389822,-0.11561409018946209,-0.131059620987428,-0.2620150678511225
Bulgaria,2020-12-17,-0.10528727860856779,2021-09-30,S.Q677,2021-08-17,287,False,1.5324492835395318,-0.11609900921880983,-0.1326300715456559,-0.24606253050469495
Serbia,2020-12-18,-0.10604267088726042,2021-10-04,S.Q677,2021-08-18,290,False,-0.7338441439446992,-0.10981127147015587,-0.13020316022327463,-0.22716371211916425
Panama,2020-12-20,-0.10611821011512969,2021-04-01,S.Q677,2021-08-20,102,True,-0.14809856455921477,-0.11530051374742728,-0.13257992565262514,-0.24199147638646434
Zimbabwe,2020-12-21,-0.10614338985775278,2020-12-21,S.Q677,2021-08-21,0,True,0.45245046996958416,-0.11662549197463708,-0.13405968680146482,-0.24199147638646434
Timor-Leste,2020-12-23,-0.10604267088726042,2021-06-15,S.Q677,2021-08-23,174,True,-1.1792298018509226,-0.11653145612495489,-0.13405481495661686,-0.2718736880633448
Ukraine,2020-12-29,-0.1060930303725066,2021-10-25,S.Q677,2021-08-29,300,False,0.2829471275301087,-0.1106018494719531,-0.12486970185543975,-0.14108814191589114
Mauritius,2021-01-04,-0.10604267088726042,2021-10-01,S.Q677,2021-09-04,270,False,-0.941598780570494,-0.11657871728410306,-0.13404997236250316,-0.2718531852502649
Finland,2021-01-06,-0.09987363394460397,2021-10-21,S.Q677,2021-09-06,288,False,-0.7979465664841815,-0.11613939654417696,-0.13382035289200636,-0.2638813972475516
Ghana,2021-01-06,-0.10402829147741342,2021-08-16,S.Q677,2021-09-06,222,True,-0.7584526570668332,-0.11503480314202033,-0.13320146523996215,-0.26832399229046516
Costa Rica,2021-01-10,-0.10576569371840647,2021-10-25,S.Q677,2021-09-10,288,False,-0.4707606425630079,-0.11449737118734842,-0.13233030250628405,-0.2379940670704999
Guatemala,2021-01-11,-0.10601749114463734,2021-09-01,S.Q677,2021-09-11,233,True,0.4060449117240677,-0.11472396190410922,-0.13093782678935859,-0.24278130822341698
