Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Norway,2020-11-29,666,2021-11-03,S.Q677,2021-07-30,339,False,0.0,1076,5,485.8
Palestine,2020-11-29,6,2021-02-06,S.Q677,2021-07-30,69,True,0.01,9722,113,1105.2
Uruguay,2020-12-02,305,2021-04-26,S.Q677,2021-08-02,145,True,0.01,47225,603,1066.27
Nigeria,2020-12-03,443,2021-09-17,S.Q677,2021-08-03,288,False,0.01,8904,118,354.3
Lithuania,2020-12-03,165,2021-11-03,S.Q677,2021-08-03,335,False,0.01,746,11,725.7
Angola,2020-12-07,19,2021-07-18,S.Q677,2021-08-07,223,True,0.02,226,6,114.6
Israel,2020-12-07,297,2021-11-21,S.Q677,2021-08-07,349,False,0.01,4363,27,2462.84
Bolivia,2020-12-08,2,2021-02-20,S.Q677,2021-08-08,74,True,0.05,2896,137,1505.81
Congo (Brazzaville),2020-12-10,32,2021-10-25,S.Q677,2021-08-10,319,False,0.01,605,9,28.22
Bosnia and Herzegovina,2020-12-17,6,2021-10-12,S.Q677,2021-08-17,299,False,0.05,1046,48,446.04
Bulgaria,2020-12-17,35,2021-09-30,S.Q677,2021-08-17,287,False,0.04,547,23,1099.88
Serbia,2020-12-18,5,2021-10-04,S.Q677,2021-08-18,290,False,0.01,7008,62,1874.49
Panama,2020-12-20,2,2021-04-01,S.Q677,2021-08-20,102,True,0.02,1368,24,1266.75
Zimbabwe,2020-12-21,1,2020-12-21,S.Q677,2021-08-21,0,True,0.03,6,1,1266.75
Timor-Leste,2020-12-23,5,2021-06-15,S.Q677,2021-08-23,174,True,0.0,103,1,41.96
Ukraine,2020-12-29,3,2021-10-25,S.Q677,2021-08-29,300,False,0.02,6195,146,5402.48
Mauritius,2021-01-04,5,2021-10-01,S.Q677,2021-09-04,270,False,0.01,55,1,42.8
Finland,2021-01-06,250,2021-10-21,S.Q677,2021-09-06,288,False,0.01,506,4,369.54
Ghana,2021-01-06,85,2021-08-16,S.Q677,2021-09-06,222,True,0.01,1641,14,187.45
Costa Rica,2021-01-10,16,2021-10-25,S.Q677,2021-09-10,288,False,0.01,2193,28,1430.59
Guatemala,2021-01-11,6,2021-09-01,S.Q677,2021-09-11,233,True,0.03,1960,50,1234.37
Bahamas,2021-01-18,5,2021-07-20,S.Q677,2021-09-18,183,True,0.02,135,3,32.16
Lebanon,2021-01-20,10,2021-07-09,S.Q677,2021-09-20,170,True,0.01,1154,17,1702.74
Turkey,2021-01-20,251,2021-11-17,S.Q677,2021-09-20,301,False,0.01,11935,105,19864.19
